file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180918a_jpgs/jpgs/P26161564.jpg,7749094,7567.474609,7.390111923,96
Florence/20180918a_jpgs/jpgs/P26161842.jpg,7577594,7399.994141,7.226556778,96
Florence/20180918a_jpgs/jpgs/P26162778.jpg,5893141,5755.020508,5.620137215,96
Florence/20180918a_jpgs/jpgs/P26163442.jpg,13472783,13157.01465,12.84864712,96
Florence/20180918a_jpgs/jpgs/P26163460.jpg,7521036,7344.761719,7.172618866,96
Florence/20180918a_jpgs/jpgs/P26164062.jpg,8844077,8636.793945,8.434369087,96
Florence/20180918a_jpgs/jpgs/P26164502.jpg,6617773,6462.668945,6.311200142,96
Florence/20180918a_jpgs/jpgs/P26165510.jpg,5922061,5783.262695,5.647717476,96
Florence/20180918a_jpgs/jpgs/P26165618.jpg,9363408,9143.953125,8.929641724,96
Florence/20180918a_jpgs/jpgs/P26166170.jpg,5260029,5136.74707,5.016354561,96
Florence/20180918a_jpgs/jpgs/P26166729.jpg,6046105,5904.399414,5.766015053,96
Florence/20180918a_jpgs/jpgs/P26166860.jpg,6831328,6671.21875,6.514862061,96
Florence/20180918a_jpgs/jpgs/P26167487.jpg,5799435,5663.510742,5.530772209,96
Florence/20180918a_jpgs/jpgs/P26168009.jpg,9224379,9008.182617,8.797053337,96
Florence/20180918a_jpgs/jpgs/S26158152.jpg,5699630,5566.044922,5.435590744,96
Florence/20180918a_jpgs/jpgs/S26158218.jpg,6063386,5921.275391,5.782495499,96
Florence/20180918a_jpgs/jpgs/S26158242.jpg,6783334,6624.349609,6.469091415,96
Florence/20180918a_jpgs/jpgs/S26158577.jpg,9358960,9139.609375,8.92539978,96
Florence/20180918a_jpgs/jpgs/S26158589.jpg,6222291,6076.456055,5.934039116,96
Florence/20180918a_jpgs/jpgs/S26158913.jpg,7329529,7157.743164,6.989983559,96
Florence/20180918a_jpgs/jpgs/S26158992.jpg,7380637,7207.65332,7.038723946,96
Florence/20180918a_jpgs/jpgs/S26159729.jpg,6004061,5863.34082,5.72591877,96
Florence/20180918a_jpgs/jpgs/S26159995.jpg,10729832,10478.35156,10.2327652,96
Florence/20180918a_jpgs/jpgs/S26160709.jpg,6214259,6068.612305,5.926379204,96
Florence/20180918a_jpgs/jpgs/S26160768.jpg,9116598,8902.927734,8.694265366,96
Florence/20180918a_jpgs/jpgs/S26161782.jpg,5759781,5624.786133,5.492955208,96
Florence/20180918a_jpgs/jpgs/S26161945.jpg,6268023,6121.116211,5.97765255,96
Florence/20180918a_jpgs/jpgs/S26162678.jpg,9335243,9116.448242,8.902781487,96
Florence/20180918a_jpgs/jpgs/S26162850.jpg,6590845,6436.37207,6.2855196,96
Florence/20180918a_jpgs/jpgs/S26164022.jpg,7674779,7494.901367,7.319239616,96
Florence/20180918a_jpgs/jpgs/S26164534.jpg,6334845,6186.37207,6.041378975,96
Florence/20180918a_jpgs/jpgs/S26165601.jpg,5697596,5564.058594,5.43365097,96
Florence/20180918a_jpgs/jpgs/S26166290.jpg,11017279,10759.06152,10.50689602,96
Florence/20180918a_jpgs/jpgs/S26166854.jpg,7684930,7504.814453,7.328920364,96
Florence/20180918a_jpgs/jpgs/S26168760.jpg,4474451,4369.581055,4.267168999,96
Florence/20180918a_jpgs/jpgs/S26168868.jpg,7990440,7803.164063,7.620277405,96
Florence/20180919a_jpgs/jpgs/C26250485.jpg,7594776,7416.773438,7.24294281,300
Florence/20180919a_jpgs/jpgs/C26254813.jpg,9459043,9237.34668,9.020846367,300
Florence/20180919a_jpgs/jpgs/C26254909.jpg,7533613,7357.043945,7.184613228,300
Florence/20180919a_jpgs/jpgs/C26254933.jpg,14083031,13752.95996,13.43062496,300
Florence/20180919a_jpgs/jpgs/C26255332.jpg,5963563,5823.791992,5.687296867,300
Florence/20180919a_jpgs/jpgs/C26255588.jpg,5908441,5769.961914,5.634728432,300
Florence/20180919a_jpgs/jpgs/C26255796.jpg,9156952,8942.335938,8.732749939,300
Florence/20180919a_jpgs/jpgs/C26256305.jpg,7438980,7264.628906,7.094364166,300
Florence/20180919a_jpgs/jpgs/C26257822.jpg,6936965,6774.379883,6.615605354,300
